Niveau 1,Niveau 2,Niveau 3,Niveau 4
PRÉSIDENCE DE LA RÉPUBLIQUE,Autres administrations ,Délégation générale à la Promotion des Pôles urbains de Diamniadio et du Lac Rose,Autorité de Régulation du Secteur de l’Eau
PRÉSIDENCE DE LA RÉPUBLIQUE,Autres administrations ,Délégation générale à la Promotion des Pôles urbains de Diamniadio et du Lac Rose,Agence sénégalaise d’études spatiales
PRÉSIDENCE DE LA RÉPUBLIQUE,Autres administrations ,Délégation générale à la Promotion des Pôles urbains de Diamniadio et du Lac Rose,Fonds intergénérationnel
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,Service du Protocole
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,Bureau Opérationnel de Coordination et de Suivi des Projets et Programmes
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,"Fonds de Préparation et de Suivi des Projets, Programmes et Réformes (F3PR)"
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,Cellule de Communication
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,Conseil national de Développement de la Nutrition
PRIMATURE,Cabinet du Premier Ministre et services rattachés,,Conseil national de Lutte contre le SIDA
PRIMATURE,Cabinet du Premier Ministre et services rattachés,Secrétariat technique du Conseil national de Sécurité alimentaire,Comité interministériel de Suivi et de Restructuration des Entreprises publiques et
PRIMATURE,Cabinet du Premier Ministre et services rattachés,Secrétariat technique du Conseil national de Sécurité alimentaire,Comité interministériel à la Prévention et à la Sécurité routières
PRIMATURE,Cabinet du Premier Ministre et services rattachés,Secrétariat technique du Conseil national de Sécurité alimentaire,Comité interministériel de suivi de l’Agenda Sénégal 2050
PRIMATURE,Cabinet du Premier Ministre et services rattachés,Secrétariat technique du Conseil national de Sécurité alimentaire,Conseil national des Transports aériens
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,Direction générale de la Surveillance et du Contrôle de l’Occupation du Sol ,Direction de la Réglementation et du Contentieux
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,Direction générale de la Surveillance et du Contrôle de l’Occupation du Sol ,Direction de la planification et des opérations
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction du Service civique national
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction de l’Engagement volontaire
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction de l’Activité normative
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction des Archives du Sénégal
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction de l’Imprimerie nationale
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction de la Coopération technique
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction des Relations avec les institutions
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Direction de l’Administration générale et de l’Equipement
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Bureau de Suivi et de Coordination
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Bureau d’information et de communication du Gouvernement
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Bureau du courrier général
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Service informatique
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Cellule de passation des marchés
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Commission d’Evaluation des Agences d’Exécution
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Service de Gestion du Building administratif
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Commission de réforme spéciale des véhicules administratifs
PRIMATURE,Secrétariat général du Gouvernement et services rattachés ,- Direction générale du Service civique national et du Volontariat ,Unité de coordination de la gestion des sphères ministérielles de Diamniadio
PRIMATURE,Autres administrations ,,Observatoire national de l’Investissement
PRIMATURE,Autres administrations ,Haute Autorité du WAQF,Agence Nationale pour la relance des Activités en Casamance
PRIMATURE,Autres administrations ,Haute Autorité du WAQF,Centre national de coordination du Mécanisme d’alerte précoce et de réponse aux
PRIMATURE,Autres administrations ,Haute Autorité du WAQF,risques sécuritaires
MINISTÈRE DE LA JUSTICE,Cabinet et services rattachés ,,Inspection générale de l’Administration de la Justice
MINISTÈRE DE LA JUSTICE,Cabinet et services rattachés ,,Commission nationale pour l’Harmonisation en Afrique du Droit des Affaires
