id,name,parent_level1,parent_level2
L3_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions__direction_generale_des_infrastructures_routieres_et_du_desenclavement,Direction générale des Infrastructures Routières et du Désenclavement,L1_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire,L2_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions
L3_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions__direction_generale_de_la_formation_professionnelle_et_technique,Direction générale de la Formation professionnelle et technique,L1_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique,L2_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions
L3_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions__direction_generale_du_cadre_de_vie,Direction générale du Cadre de vie,L1_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique,L2_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions
L3_ministere_de_l_hydraulique_et_de_l_assainissement__directions__direction_generale_de_la_sante,Direction générale de la Santé,L1_ministere_de_l_hydraulique_et_de_l_assainissement,L2_ministere_de_l_hydraulique_et_de_l_assainissement__directions
L3_ministere_de_l_hydraulique_et_de_l_assainissement__directions__direction_generale_des_etablissements_de_sante,Direction générale des Etablissements de Santé,L1_ministere_de_l_hydraulique_et_de_l_assainissement,L2_ministere_de_l_hydraulique_et_de_l_assainissement__directions
L3_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_de_la_police_nationale,Direction générale de la Police nationale,L1_ministere_de_l_interieur_et_de_la_securite_publique,L2_ministere_de_l_interieur_et_de_la_securite_publique__directions
L3_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_de_l_administration_territoriale,Direction générale de l’Administration territoriale,L1_ministere_de_l_interieur_et_de_la_securite_publique,L2_ministere_de_l_interieur_et_de_la_securite_publique__directions
L3_ministere_de_l_interieur_et_de_la_securite_publique__directions__direction_generale_des_elections,Direction générale des Elections,L1_ministere_de_l_interieur_et_de_la_securite_publique,L2_ministere_de_l_interieur_et_de_la_securite_publique__directions
L3_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions__direction_generale_de_la_reglementation_des_constructions_et_de_l_habitat,Direction générale de la Réglementation des Constructions et de l’Habitat,L1_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de,L2_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions
L3_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions__direction_generale_de_l_urbanisme_et_de_l_architecture,Direction générale de l’Urbanisme et de l’Architecture,L1_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de,L2_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions
L3_ministere_des_finances_et_du_budget__directions__direction_generale_de_la_recherche_et_de_l_innovation,Direction générale de la Recherche et de l’Innovation,L1_ministere_des_finances_et_du_budget,L2_ministere_des_finances_et_du_budget__directions
L3_ministere_des_finances_et_du_budget__directions__direction_generale_de_l_enseignement_superieur,Direction générale de l’Enseignement supérieur,L1_ministere_des_finances_et_du_budget,L2_ministere_des_finances_et_du_budget__directions
L3_ministere_des_forces_armees__services_propres__etat_major_general_des_armees,Etat-Major général des Armées,L1_ministere_des_forces_armees,L2_ministere_des_forces_armees__services_propres
