id,name,ministry_id/id
sn_cat_ministere_de_la_justice__autres_administrations,Autres administrations,sn_min_ministere_de_la_justice
sn_cat_ministere_de_la_justice__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_la_justice
sn_cat_ministere_de_la_justice__directions,Directions,sn_min_ministere_de_la_justice
sn_cat_ministere_de_la_justice__secretariat_general_et_services_rattaches,Secrétariat général et Services rattachés,sn_min_ministere_de_la_justice
sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__autres_administrations,Autres administrations,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions,Directions,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__directions_regionales_des_infrastructures,Directions régionales des Infrastructures,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
sn_cat_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire
sn_cat_ministere_de_l_economie_du_plan_et_de_la_cooperation__autres_administrations,Autres administrations,sn_min_ministere_de_l_economie_du_plan_et_de_la_cooperation
sn_cat_ministere_de_l_economie_du_plan_et_de_la_cooperation__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_economie_du_plan_et_de_la_cooperation
sn_cat_ministere_de_l_economie_du_plan_et_de_la_cooperation__secretariat_general_et_services_rattaches,Secrétariat général et Services rattachés,sn_min_ministere_de_l_economie_du_plan_et_de_la_cooperation
sn_cat_ministere_de_l_economie_du_plan_et_de_la_cooperation__services_propres,Services propres,sn_min_ministere_de_l_economie_du_plan_et_de_la_cooperation
sn_cat_ministere_de_l_education_nationale__autres_administrations,Autres administrations,sn_min_ministere_de_l_education_nationale
sn_cat_ministere_de_l_education_nationale__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_education_nationale
sn_cat_ministere_de_l_education_nationale__directions,Directions,sn_min_ministere_de_l_education_nationale
sn_cat_ministere_de_l_education_nationale__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_education_nationale
sn_cat_ministere_de_l_education_nationale__secretariat_general_permanent_de_la_commission_nationale_pour_l_unesco,Secrétariat général permanent de la Commission nationale pour l’UNESCO,sn_min_ministere_de_l_education_nationale
sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__autres_administrations,Autres administrations,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique
sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique
sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__directions,Directions,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique
sn_cat_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_emploi_et_de_la_formation_professionnelle_et_technique
sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__autres_administrations,Autres administrations,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement
sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement
sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__directions,Directions,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement
sn_cat_ministere_de_l_hydraulique_et_de_l_assainissement__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_hydraulique_et_de_l_assainissement
sn_cat_ministere_de_l_industrie_et_du_commerce__autres_administrations,Autres administrations,sn_min_ministere_de_l_industrie_et_du_commerce
sn_cat_ministere_de_l_industrie_et_du_commerce__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_industrie_et_du_commerce
sn_cat_ministere_de_l_industrie_et_du_commerce__directions,Directions,sn_min_ministere_de_l_industrie_et_du_commerce
sn_cat_ministere_de_l_industrie_et_du_commerce__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_industrie_et_du_commerce
sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__autres_administrations,Autres administrations,sn_min_ministere_de_l_interieur_et_de_la_securite_publique
sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_interieur_et_de_la_securite_publique
sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__directions,Directions,sn_min_ministere_de_l_interieur_et_de_la_securite_publique
sn_cat_ministere_de_l_interieur_et_de_la_securite_publique__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_interieur_et_de_la_securite_publique
sn_cat_ministere_de_l_integration_africaine_des_affaires_etrangeres_et__autres_administrations,Autres administrations,sn_min_ministere_de_l_integration_africaine_des_affaires_etrangeres_et
sn_cat_ministere_de_l_integration_africaine_des_affaires_etrangeres_et__cabinet_et_services_rattaches,Cabinet et Services rattachés,sn_min_ministere_de_l_integration_africaine_des_affaires_etrangeres_et
sn_cat_ministere_de_l_integration_africaine_des_affaires_etrangeres_et__directions,Directions,sn_min_ministere_de_l_integration_africaine_des_affaires_etrangeres_et
sn_cat_ministere_de_l_integration_africaine_des_affaires_etrangeres_et__secretariat_general_et_services_rattaches,Secrétariat général et services rattachés,sn_min_ministere_de_l_integration_africaine_des_affaires_etrangeres_et
sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__autres_administrations,Autres administrations,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de
sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__cabinet_et_services_rattaches,Cabinet et services rattachés,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de
sn_cat_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de__directions,Directions,sn_min_ministere_de_l_urbanisme_des_collectivites_territoriales_et_de
