id,name,direction_id/id
sn_srv_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches__item__cellule_de_passation_des_marches_publics,Cellule de Passation des marchés publics,
sn_srv_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches__item__cellule_des_affaires_juridiques,Cellule des Affaires juridiques,
sn_srv_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches__item__cellule_des_etudes_de_la_planification_et_du_suivi_evaluation,"Cellule des Etudes, de la Planification et du Suivi-évaluation",
sn_srv_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches__item__cellule_du_genre_et_de_l_equite,Cellule du Genre et de l’Equité,
sn_srv_ministere_de_la_microfinance_de_l_economie_sociale_et_solidaire__secretariat_general_et_services_rattaches__item__centre_de_ressources_et_de_documentation,Centre de Ressources et de Documentation,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_abass_ndao,Centre hospitalier national Abass NDAO,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_cheikh_ahmadoul_khadim_de_touba,Centre hospitalier national Cheikh Ahmadoul Khadim de Touba,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_dalal_jamm,Centre Hospitalier national Dalal Jamm,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_de_pikine,Centre hospitalier national de Pikine,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_d_enfants_albert_royer,Centre hospitalier national d’Enfants Albert Royer,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_d_enfants_de_diamniadio,Centre hospitalier national d’Enfants de Diamniadio,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_henrich_lubke_de_diourbel,Centre hospitalier national Henrich Lübke de Diourbel,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_matlaboul_fawzaini_de_touba,Centre hospitalier national Matlaboul Fawzaïni de Touba,
sn_srv_ministere_de_la_sante_et_de_l_hygiene_publique__item__item__centre_hospitalier_national_seydi_el_hadji_malick_sy_de_tivaouane,Centre hospitalier national Seydi El Hadji Malick SY de Tivaouane,
